Player,Time,Date,Platform,Country,Map
Lilleman,22:11,"23rd, October 2023",ps4,sweden,Shaolin
TheOnlyZae,22:14,"15th, December 2023",ps4,usa,Shaolin
Wistful,23:19,"8th, February 2024",xb1,usa,Shaolin
DaCEOofMilk,24:10,"29th, April 2025",pc,usa,Shaolin
Red Death,26:32,"28th, April 2024",xb1,usa,Shaolin
Mr. HoboGuy,26:47,"15th, October 2023",ps4,england,Shaolin
Kooky,29:30,"27th, May 2020",ps4,usa,Shaolin
Midzi,33:48,"7th, January 2024",pc,usa,Shaolin
Joaco1503,34:01,"18th, June 2020",ps4,chile,Shaolin
ItsReinzTTV,34:18,"9th, May 2024",xb1,usa,Shaolin
Plasmid Jeff,35:11,"3rd, May 2020",ps4,usa,Shaolin
LiningDragon542,37:41,"6th, March 2021",xb1,usa,Shaolin
KauloKaasie4.0,46:31,"27th, November 2023",pc,netherlands,Shaolin
sixkzz,13:39,"14th, March 2025",pc,germany,Attack
Pinkhalfmoon,13:41,"26th, February 2025",xb,usa,Attack
Dr Jon23,14:06,"14th, August 2024",xb1,usa,Attack
MenBot115,14:29,"30th, January 2022",ps4,netherlands,Attack
Lilleman,14:45,"18th, March 2024",ps4,sweden,Attack
Kevlon,14:46,"28th, March 2025",pc,usa,Attack
TheOnlyZae,14:52,"14th, April 2023",ps4,usa,Attack
Wistful,14:52,"1st, May 2024",xb1,usa,Attack
Red Death,15:57,"6th, November 2024",xb1,usa,Attack
xpurgxtoryx,16:02,"20th, January 2025",xb1,england,Attack
Sniped,16:31,"24th, January 2022",pc,england,Attack
sami69_,17:01,"12th, August 2023",pc,england,Attack
ning nong,18:01,"10th, October 2023",pc,newzealand,Attack
LiningDragon542,18:14,"6th, March 2021",xb1,usa,Attack
FaZe h1ghsky,18:49,"24th, February 2023",xb1,england,Attack
XxCrackedxX-_-,18:57,"25th, November 2021",ps4,usa,Attack
Kooky,19:36,"30th, April 2020",ps4,usa,Attack
Plasmid Jeff,20:22,"21st, May 2020",ps4,usa,Attack
Mr. HoboGuy,21:57,"7th, April 2021",ps4,england,Attack
Mikee B,27:18,"25th, June 2021",pc,usa,Attack
Skirts,28:38,"29th, July 2020",ps4,usa,Attack
KauloKaasie4.0,29:02,"1st, December 2023",pc,netherlands,Attack
CrazyHyperion13,29:26,"26th, September 2020",ps4,usa,Attack
Joaco1503,36:37,"21st, June 2020",ps4,chile,Attack
Rorek1,11:21,"2nd, May 2024",pc,usa,Beast
sixkzz,11:23,"20th, March 2025",pc,germany,Beast
Lilleman,11:44,"10th, May 2023",ps4,sweden,Beast
Wistful,11:52,"4th, March 2024",xb1,usa,Beast
TheOnlyZae,11:52,"1st, March 2025",pc,usa,Beast
chnl ZA,11:56,"12th, July 2021",ps4,usa,Beast
MenBot115,11:57,"11th, February 2022",ps4,netherlands,Beast
Red Death,11:58,"2nd, June 2024",xb1,usa,Beast
ItsReinzTTV,12:39,"11th, June 2024",xb1,usa,Beast
51n15t3r,12:50,"11th, April 2023",xb1,usa,Beast
Zackarry1,12:52,"16th, August 2021",pc,england,Beast
ExoticSchmidtTV,12:53,"6th, March 2021",xb1,usa,Beast
Brqith x,13:01,"18th, September 2021",xb1,usa,Beast
FaZe h1ghsky,13:03,"14th, January 2024",xb1,england,Beast
Flash071708,13:25,"1st, August 2024",ps4,usa,Beast
hxzado,13:29,"2nd, August 2024",ps4,usa,Beast
LiningDragon542,13:41,"6th, March 2021",xb1,usa,Beast
cIodzz,13:49,"21st, December 2024",ps4,usa,Beast
KBGaming7YT,13:53,"19th, May 2021",ps4,usa,Beast
Plasmid Jeff,14:39,"3rd, May 2020",ps4,usa,Beast
SlothGirlZB,14:41,"21st, January 2024",xb1,usa,Beast
RNG_Zombie_slash,15:06,"23rd, July 2021",ps4,usa,Beast
grxnt,15:23,"18th, November 2023",pc,usa,Beast
Mikee B,15:47,"27th, June 2021",pc,usa,Beast
Rinnyboy05,15:55,"11th, May 2020",ps4,england,Beast
Dislined,15:57,"18th, May 2024",pc,usa,Beast
B1scuit__,16:12,"19th, March 2024",pc,england,Beast
Joaco1503,16:28,"13th, June 2020",ps4,chile,Beast
Lilskindom,16:43,"9th, February 2024",xb1,usa,Beast
TheGothGamer92,16:56,"30th, January 2025",psn,usa,Beast
Victop___,18:20,"30th, June 2024",ps4,spain,Beast
TTVSlothGirlZB,18:33,"19th, September 2023",xb1,usa,Beast
Mr. HoboGuy,19:28,"20th, April 2021",ps4,england,Beast
AlGrano Zombis,21:04,"24th, May 2020",ps4,spain,Beast
KauloKaasie4.0,21:18,"1st, December 2023",pc,netherlands,Beast
KazualGamer4522,23:24,"23rd, March 2024",xb1,usa,Beast
